00.000147,A,slurping,0
00.000164,C,slurping,2
00.000193,D,slurping,0
00.000227,E,slurping,1
00.000250,F,slurping,2
00.000288,G,slurping,0
00.000344,B,slurping,1
00.000357,I,slurping,1
00.000368,H,slurping,2
01.000258,D,swallowing
01.000283,A,swallowing
01.000300,C,swallowing
01.000304,F,swallowing
01.000309,E,swallowing
01.000359,G,swallowing
01.000423,B,swallowing
01.000434,I,swallowing
01.000441,H,swallowing
01.001083,J,slurping,0
01.001115,K,slurping,1
02.000361,D,idle
02.000375,F,idle
02.000389,C,idle
02.000393,C,slurping,1
02.000402,A,idle
02.000412,A,slurping,2
02.000435,E,idle
02.000447,E,slurping,0
02.000461,D,slurping,2
02.000476,G,idle
02.000502,G,slurping,1
02.000517,F,slurping,0
02.000540,H,idle
02.000553,H,slurping,2
02.000567,B,idle
02.000581,I,idle
02.001167,J,swallowing
02.001183,K,swallowing
02.002077,I,slurping,0
02.002109,B,slurping,1
03.000512,C,swallowing
03.000536,A,swallowing
03.000562,F,swallowing
03.000569,D,swallowing
03.000585,E,swallowing
03.000599,G,swallowing
03.000639,H,swallowing
03.001245,J,idle
03.001257,K,idle
03.001373,K,slurping,2
03.001382,J,slurping,0
03.002151,I,swallowing
03.002181,B,swallowing
04.000618,C,idle
04.000634,A,idle
04.000647,A,slurping,1
04.000669,F,idle
04.000680,E,idle
04.000699,E,slurping,2
04.000708,G,idle
04.000719,H,idle
04.000729,H,slurping,1
04.000745,D,idle
04.000756,D,slurping,2
04.000770,F,slurping,1
04.000783,C,slurping,0
04.000794,G,slurping,0
04.001442,K,swallowing
04.001448,J,swallowing
04.002222,I,idle
04.002251,B,idle
04.002375,B,slurping,2
04.002387,I,slurping,0
05.000738,A,swallowing
05.000788,E,swallowing
05.000815,H,swallowing
05.000845,F,swallowing
05.000869,D,swallowing
05.000886,C,swallowing
05.000899,G,swallowing
05.001504,J,idle
05.001535,K,idle
05.001631,K,slurping,0
05.001644,J,slurping,1
05.002445,B,swallowing
05.002540,I,swallowing
06.000838,A,idle
06.000842,A,slurping,2
06.000892,E,idle
06.000908,F,idle
06.000920,F,slurping,1
06.000949,H,idle
06.000961,C,idle
06.000971,C,slurping,0
06.000972,G,idle
06.000985,H,slurping,2
06.001002,E,slurping,0
06.001019,D,idle
06.001028,D,slurping,2
06.001039,G,slurping,1
06.001704,K,swallowing
06.001715,J,swallowing
06.002546,B,idle
06.002628,B,slurping,0
06.002651,I,idle
06.002655,I,slurping,1
07.000945,A,swallowing
07.001012,F,swallowing
07.001029,C,swallowing
07.001059,H,swallowing
07.001082,D,swallowing
07.001095,E,swallowing
07.001110,G,swallowing
07.001777,K,idle
07.001781,J,idle
07.001849,K,slurping,2
07.001904,J,slurping,0
07.002738,I,swallowing
07.002929,B,swallowing
08.001048,A,idle
08.001053,A,slurping,0
08.001097,F,idle
08.001101,F,slurping,1
08.001119,H,idle
08.001129,H,slurping,1
08.001143,C,idle
08.001147,C,slurping,2
08.001173,D,idle
08.001185,D,slurping,0
08.001205,G,idle
08.001215,G,slurping,1
08.001226,E,idle
08.001232,E,slurping,2
08.001919,K,swallowing
08.001979,J,swallowing
08.002824,I,idle
08.002847,I,slurping,2
08.003004,B,idle
08.003008,B,slurping,0
09.001159,A,swallowing
09.001195,F,swallowing
09.001198,H,swallowing
09.001214,C,swallowing
09.001270,D,swallowing
09.001303,G,swallowing
09.001315,E,swallowing
09.001995,K,idle
09.002049,J,idle
09.002059,K,slurping,0
09.002105,J,slurping,1
09.002930,I,swallowing
09.003091,B,swallowing
10.001275,A,idle
